PassengerId,proba
0013_01,0.47380959679489454
0018_01,0.011736610551142038
0019_01,0.9984857035237542
0021_01,0.9940357084672645
0023_01,0.49130617011496336
0027_01,0.6259921916317193
0029_01,0.9881629951233929
0032_01,0.9850928684356325
0032_02,0.9939238119189772
0033_01,0.5465761038615374
0037_01,0.21981187684119613
0040_01,0.1552655050703936
0040_02,0.7286390913801647
0042_01,0.4096557530660153
0046_01,0.013322975422679387
0046_02,0.13759656959426692
0046_03,0.09919527327519392
0047_01,0.9974118231671921
0047_02,0.9476656335730017
0047_03,0.018269127150254545
0048_01,0.5847470255841541
0049_01,0.05481159872833207
0054_01,0.9838483572040335
0054_02,0.9473963055927357
0054_03,0.4152390018152568
0055_01,0.02604041329339956
0057_01,0.9909437112230477
0059_01,0.5311719556553368
0060_01,0.36941822600104285
0063_01,0.7220790345453842
0065_01,0.47380959679489454
0075_01,0.10689546265520157
0079_01,0.492438203046313
0080_01,0.5075860669033007
0083_01,0.05979819438116174
0087_01,0.10907580309981539
0089_01,0.97370982277353
0093_01,0.6252680924356985
0094_01,0.478705537579796
0094_02,0.13126510349413265
0095_01,0.6276154814436222
0096_01,0.14810697024700248
0100_01,0.6678335196277305
0100_02,0.51351002985249
0104_01,0.0709791745566615
0106_01,0.7698570033260633
0109_01,0.049872105141261815
0117_01,0.21528063580423024
0118_01,0.44743215194782787
0121_01,0.048333582379415534
0124_01,0.7413955386475185
0125_01,0.9881629951233929
0125_02,0.004735376861608369
0130_01,0.7413955386475185
0131_01,0.1936900403262731
0132_01,0.9766654314207683
0135_01,0.19355163604485626
0137_01,0.47380959679489454
0142_01,0.9946996547286628
0142_02,0.11361491046901713
0142_03,0.9898184778118135
0143_01,0.879214027546104
0145_01,0.13474850734627902
0150_01,0.9466050122560626
0150_02,0.9777046094514951
0153_01,0.383417956971704
0154_01,0.6213780225176843
0155_01,0.06487823742336898
0156_01,0.9689303670508097
0157_01,0.06889884249255336
0158_01,0.1266866427115384
0158_02,0.5328423885442373
0159_01,0.05924818584348364
0161_01,0.09743212575941416
0162_01,0.9782139816259894
0166_01,0.5279532255346743
0168_01,0.9979090838342045
0175_01,0.561468445431066
0175_02,0.7413955386475185
0175_03,0.561468445431066
0175_04,0.46567402215911624
0175_05,0.51351002985249
0176_01,0.09551180472779339
0180_01,0.13079012059718298
0184_01,0.2516617113237396
0185_01,0.8652820773260398
0187_01,0.9849510801240698
0191_01,0.1506142776525731
0194_01,0.9777092892176861
0194_02,0.9934150055605837
0194_03,0.004647269589988945
0204_01,0.1313012723767301
0208_01,0.4008648046321871
0209_01,0.0003275384337415935
0214_01,0.018831968681871154
0214_02,0.03708278407008581
0215_01,0.46567402215911624
0218_01,0.05101074563362761
0226_01,0.9367379373912333
0227_01,0.46329042789955305
0228_01,0.9947377605804227
0228_02,0.9890660209952555
0228_03,0.9989897618489937
0228_04,0.0025395965407049178
0230_01,0.6791229197233106
0230_02,0.10271122130754635
0235_01,0.46567402215911624
0236_01,0.9638250875420986
0238_01,0.021297679081857018
0247_01,0.9892123013550315
0247_02,0.9924203215897185
0249_01,0.13743722148917087
0256_01,0.6647313004941309
0259_01,0.9375158762382793
0262_01,0.06997514473948356
0264_01,0.9986897486879472
0264_02,0.9947377605804227
0264_03,0.0043197228725457585
0266_01,0.08478170727603447
0266_02,0.06288212383703415
0268_01,0.03211264040113532
0268_02,0.1536892175744725
0271_01,0.5122015077290245
0272_01,0.12260115233259021
0273_01,0.9971401799759683
0273_02,0.9689303670508097
0273_03,0.057102094549345665
0274_01,0.015016828065174612
0274_02,0.41869899888435297
0276_01,0.01958294721587574
0276_02,0.9964139740610178
0279_01,0.2068351557529008
0280_01,0.40105757571957856
0284_01,0.7444455070620688
0292_01,0.1280080239418437
0293_01,0.9715147925160638
0295_01,0.14854956762197702
0296_01,0.11098121616330198
0299_01,0.08139414060241262
0300_01,0.003098863489288046
0308_01,0.6867683213927253
0311_01,0.5570124815980483
0312_01,0.46567402215911624
0317_01,0.1359707315797836
0318_01,0.5230090255920489
0319_01,0.07169548453866893
0319_02,0.9825066617457964
0323_01,0.6057393287968117
0325_01,0.5703080987257578
0328_01,0.5398440193308353
0329_01,0.9838483572040335
0332_01,0.46567402215911624
0335_01,0.21849441781808904
0339_01,0.22131397091879676
0339_02,0.1399581788086166
0339_03,0.5160806087591779
0339_04,0.7661633712434218
0339_05,0.6217565585091853
0339_06,0.16225051985595687
0339_07,0.06193368952271615
0339_08,0.08221711681869995
0342_01,0.8833007403454135
0342_02,0.5614531044125074
0344_01,0.9744172443021482
0344_02,0.02374654754857409
0349_01,0.0005708717428634726
0349_02,0.9376579541632417
0349_03,0.028562610239268264
0349_04,0.9747974969889182
0349_05,0.08295844080277197
0349_06,0.034943035180746436
0351_01,0.9801082629739364
0353_01,0.561468445431066
0353_02,0.5230090255920489
0354_01,0.6645058183138879
0362_01,0.8239234409087954
0363_01,0.29537274974943045
0363_02,0.7105406988166945
0363_03,0.672187570673951
0364_01,0.44927320980199476
0364_02,0.09262793923322706
0366_01,0.47380959679489454
0367_01,0.002000385693190283
0374_01,0.16777332277621115
0374_02,0.10908164296480426
0386_01,0.058828228098984324
0390_01,0.4827435881001747
0393_01,0.00199153952165995
0394_01,0.678866295614937
0399_01,0.6282633500423969
0400_01,0.9841998082835519
0404_01,0.9386723194061982
0406_01,0.2082675894101151
0414_01,0.027234484898925403
0416_01,0.570694958146137
0418_01,0.19331710099300223
0419_01,0.36356215015083465
0419_02,0.6867683213927253
0419_03,0.5381939321134456
0420_01,0.2658924279166944
0421_01,0.9998325163675363
0422_01,0.10909320936619113
0424_01,0.08212187815300558
0426_01,0.12251862204030374
0440_01,0.1498818278892897
0443_01,0.38788624103650543
0450_01,0.05943062354574236
0451_01,0.9984857035237542
0455_01,0.3496741980692179
0464_01,0.47380959679489454
0467_01,0.8654592900727941
0467_02,0.8654592900727941
0467_03,0.9068608658391513
0467_04,0.9362088208759283
0469_01,0.7489401064983222
0473_01,0.23806003883936036
0478_01,0.00034102877474173724
0478_02,0.9886605167774842
0479_01,0.9989897618489937
0483_01,0.972268457501339
0483_02,0.6629035292730114
0484_01,0.9881595563242125
0486_01,0.6749082174498916
0489_01,0.2209141258136353
0489_02,0.9775915073463851
0491_01,0.47279082860306193
0492_01,0.18276730672227956
0493_01,0.492438203046313
0494_01,0.9925422705859898
0494_02,0.23387213477538435
0495_01,0.478705537579796
0495_02,0.478705537579796
0495_03,0.5782277542641932
0495_04,0.436920731058694
0495_05,0.008574321028715262
0495_06,0.3620493246658996
0496_01,0.6588324968935395
0496_02,0.6867683213927253
0497_01,0.9689303670508097
0505_01,0.10724272791242451
0508_01,0.024003061274255305
0509_01,0.46329042789955305
0511_01,0.03075771177957751
0514_01,0.6282633500423969
0524_01,0.9888526808251439
0526_01,0.5381939321134456
0530_01,0.0702764606522915
0530_02,0.005489235603829942
0530_03,0.9990078265856174
0532_01,0.048468150670696826
0532_02,0.9966261963383266
0535_01,0.8506328713465242
0536_01,0.009797891135460288
0536_02,0.043503565154046
0541_01,0.9947377605804227
